id,buffer,time_lag,val,var,qval
1BAP1,500,0,21.85,TND,4
1BAP1,500,1,21.85,TND,4
1BAP1,500,2,21.85,TND,4
1BAP1,500,3,21.85,TND,4
1BAP1,500,4,21.85,TND,4
1BAP1,500,5,21.85,TND,4
1BAP1,500,6,21.85,TND,4
1BAP1,500,7,20.7999969482422,TND,5
1BAP1,500,8,20.7999969482422,TND,5
1BAP1,500,9,20.7999969482422,TND,5
1BAP1,500,10,20.7999969482422,TND,5
1BAP1,500,11,20.7999969482422,TND,5
1BAP1,500,12,20.7999969482422,TND,5
1BAP1,500,13,20.7999969482422,TND,5
1BAP1,500,14,21.9500061035156,TND,3
1BAP1,500,15,21.9500061035156,TND,1
1BAP1,500,16,21.9500061035156,TND,3
1BAP1,500,17,17.5299926757813,TND,3
1BAP1,500,18,17.5299926757813,TND,1
1BAP1,500,19,17.5299926757813,TND,3
1BAP1,500,20,19.7499938964844,TND,4
1BAP1,500,21,19.9299865722656,TND,5
